experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
qwen3:4b_local_baseline_classification,qwen3:4b,classification,0,None,card_arrival,False,26363.140000000003,2026-02-08T13:16:59.890442
qwen3:4b_local_baseline_classification,qwen3:4b,classification,1,None,card_arrival,False,25102.528,2026-02-08T13:17:24.992979
qwen3:4b_local_baseline_classification,qwen3:4b,classification,2,None,card_arrival,False,25147.780000000002,2026-02-08T13:17:50.140773
qwen3:4b_local_baseline_classification,qwen3:4b,classification,3,None,card_arrival,False,25081.077,2026-02-08T13:18:15.221867
qwen3:4b_local_baseline_classification,qwen3:4b,classification,4,None,card_arrival,False,25013.358,2026-02-08T13:18:40.235232
qwen3:4b_local_baseline_classification,qwen3:4b,classification,5,None,card_arrival,False,25030.58,2026-02-08T13:19:05.265820
qwen3:4b_local_baseline_classification,qwen3:4b,classification,6,None,card_arrival,False,25055.823,2026-02-08T13:19:30.321650
qwen3:4b_local_baseline_classification,qwen3:4b,classification,7,None,card_arrival,False,25018.7,2026-02-08T13:19:55.340365
qwen3:4b_local_baseline_classification,qwen3:4b,classification,8,None,card_arrival,False,24982.55,2026-02-08T13:20:20.322924
qwen3:4b_local_baseline_classification,qwen3:4b,classification,9,None,card_arrival,False,25690.041,2026-02-08T13:20:46.013002
qwen3:4b_local_baseline_classification,qwen3:4b,classification,10,None,card_arrival,False,28068.280000000002,2026-02-08T13:21:14.081307
qwen3:4b_local_baseline_classification,qwen3:4b,classification,11,None,card_arrival,False,25595.268999999997,2026-02-08T13:21:39.676618
qwen3:4b_local_baseline_classification,qwen3:4b,classification,12,None,card_arrival,False,26196.714,2026-02-08T13:22:05.873357
qwen3:4b_local_baseline_classification,qwen3:4b,classification,13,None,card_arrival,False,25568.602,2026-02-08T13:22:31.441982
qwen3:4b_local_baseline_classification,qwen3:4b,classification,14,None,card_arrival,False,26191.555,2026-02-08T13:22:57.633565
qwen3:4b_local_baseline_classification,qwen3:4b,classification,15,None,card_arrival,False,26318.466999999997,2026-02-08T13:23:23.952497
qwen3:4b_local_baseline_classification,qwen3:4b,classification,16,None,card_arrival,False,26237.583000000002,2026-02-08T13:23:50.190450
qwen3:4b_local_baseline_classification,qwen3:4b,classification,17,None,card_arrival,False,25587.03,2026-02-08T13:24:15.777515
qwen3:4b_local_baseline_classification,qwen3:4b,classification,18,card_arrival,card_arrival,True,16638.981,2026-02-08T13:24:32.416520
